ID|Text|Data
1257121114947551233|O Presidente foi ao funeral da rainha, nós presenciaremos o enterro do pt. #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:20+00:00
1495472507427688450|@japanaldo2008 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:28+00:00
1495472507427688450|@_SouJB_22 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:34+00:00
1562086529291501568|"@lylykrp @MarceloLins68 Brasil é com B maiúsculo
B de Bolsonaro
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:56:37+00:00
1495472507427688450|@JananaMorais9 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:42+00:00
978377599385853952|@Marilda___ Sim. Esse canalha tinha que se filiar ao PSOL que condiz com a total falta de princípios dele.|2022-09-18 18:56:47+00:00
1557362666703933445|@anlosito @Rconstantino Por um Brasil sem corrupção Lula lá em Cuba 👏🏻|2022-09-18 18:57:14+00:00
747919034486763521|O que mais me deixou feliz hoje no #LulaEmFloripa é que fui e voltei na maior paz, sem nenhum problema, de vermelho e adesivada! Vários carros pela rua com bandeiras, povo andando feliz e sem medo! Tem muita gente desse lado aqui  ❤️ !! #LulaNo1oturno|2022-09-18 18:57:16+00:00
1019857520|"@BrazilFight 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:57:24+00:00
1495472507427688450|@JananaMorais9 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:57:29+00:00
1038475840898695169|"Muitos amigos com a conta suspensa, e quem não está suspenso está invisível, mas invisível só aqui nessa rede. 

Nas ruas do Brasil somos maioria, lindamente verde amarela! 🇧🇷🇧🇷

E a venda de lenços continua! 

#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:57:29+00:00
1506538810158555138|@AugustoNPistola #BolsonaroNoPrimeiroTurno22|2022-09-18 18:57:34+00:00
1495472507427688450|@BRASIL311977 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:57:38+00:00
1495472507427688450|@Jouberth19 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:57:46+00:00
52776668|@DaniDududika @lupontesmolina Certo! Muda de assunto aí pq não consegue explicar… chora mais, defensora de bandido|2022-09-18 18:57:53+00:00
